name,url,latitude,longitude

#
# Live traffic cams from http://video.dot.ca.gov/
#

# I-5
#
I-5 at 6th,http://video.dot.ca.gov/asx/d3-6th-i5.asx,38.551924,-121.511406
I-5 at 25th,http://video.dot.ca.gov/asx/d3-25th-i5.asx,38.534168,-121.516943
I-5 at 43rd,http://video.dot.ca.gov/asx/d3-43rd-i5.asx,38.516071,-121.522092
I-5 at Broadway,http://video.dot.ca.gov/asx/d3-Broadway-I5.asx,38.566958,-121.512523
I-5 at Del Paso,http://video.dot.ca.gov/asx/d3-Del-Paso-I5.asx,38.655777,-121.533381
I-5 at El Camino,http://video.dot.ca.gov/asx/d3-w_el_camino-i5.asx,38.614791,-121.512651
I-5 at Elkhorn,http://video.dot.ca.gov/asx/d3-elkhorn-i5.asx,38.667841,-121.540591
I-5 at Florin,http://video.dot.ca.gov/asx/d3-florin-i5.asx,38.495518,-121.516685
I-5 at Gloria,http://video.dot.ca.gov/asx/d3-gloria-i5.asx,38.509322,-121.522007
I-5 at US-50,http://video.dot.ca.gov/asx/d3-Jct50-I5.asx,38.568837,-121.512179
I-5 at I-80,http://video.dot.ca.gov/asx/d3-sanjuan-i5.asx,38.627801,-121.518445
I-5 at Laguna North bound,http://video.dot.ca.gov/asx/d3-Laguna-NB-I5.asx,38.428265,-121.487547
I-5 at Laguna South bound,http://video.dot.ca.gov/asx/d3-Laguna-SB-I5.asx,38.423559,-121.486775
I-5 at P St,http://video.dot.ca.gov/asx/d3-pst-i5.asx,38.576755,-121.507844
I-5 at Pocket,http://video.dot.ca.gov/asx/d3-pocket-i5.asx,38.481275,-121.510763
I-5 at Richards,http://video.dot.ca.gov/asx/d3-richards-i5.asx,38.596883,-121.504068
I-5 at Seamas,http://video.dot.ca.gov/asx/d3-seamas-i5.asx,38.525674,-121.521234
I-5 at Sutterville,http://video.dot.ca.gov/asx/d3-sutterville-i5.asx,38.540646,-121.510934
I-5 at Vallejo Way,http://video.dot.ca.gov/asx/d3-vallejo-i5.asx,38.558518,-121.51357

# US-50
#
US-50 at 4th,http://video.dot.ca.gov/asx/d3-4th-50.asx,38.567613,-121.507759
US-50 at 9th,http://video.dot.ca.gov/asx/d3-9th-50.asx,38.565839,-121.501280
US-50 at 20th,http://video.dot.ca.gov/asx/d3-20th-50.asx,38.561879,-121.486389
US-50 at 28th,http://video.dot.ca.gov/asx/d3-28th-50.asx,38.558636,-121.475830
US-50 at 39th,http://video.dot.ca.gov/asx/d3-39th-50.asx,38.560448,-121.458234
US-50 at 51st,http://video.dot.ca.gov/asx/d3-51st-50.asx,38.556690,-121.444716
US-50 at 65th,http://video.dot.ca.gov/asx/d3-65th-50.asx,38.550447,-121.427936
US-50 at Bradshaw,http://video.dot.ca.gov/asx/50-bradshaw.asx,38.565884,-121.336784
US-50 at Harbor,http://video.dot.ca.gov/asx/50-harbor.asx,38.575011,-121.548871
US-50 at Hazel,http://video.dot.ca.gov/asx/d3-hazel-50.asx,38.630818,-121.217136
US-50 at Howe,http://video.dot.ca.gov/asx/d3-howe-50.asx,38.553737,-121.409354
US-50 at Jefferson,http://video.dot.ca.gov/asx/d3-jefferson-50.asx,38.577225,-121.525354
