id,name,url,geo,width,height

1,I-5 at 6th,http://video.dot.ca.gov/asx/d3-6th-i5.asx,"38.551924,-121.511406",600,440
2,I-5 at 25th,http://video.dot.ca.gov/asx/d3-25th-i5.asx,"38.534168,-121.516943",600,440
3,I-5 at 43rd,http://video.dot.ca.gov/asx/d3-43rd-i5.asx,"38.516071,-121.522092",600,440
4,I-5 at El Camino,http://video.dot.ca.gov/asx/d3-w_el_camino-i5.asx,"38.614791,-121.512651",600,440
5,I-5 at Florin,http://video.dot.ca.gov/asx/d3-florin-i5.asx,"38.495518,-121.516685",600,440
6,I-5 at Gloria,http://video.dot.ca.gov/asx/d3-gloria-i5.asx,"38.509322,-121.522007",600,440
7,I-5 at I-80,http://video.dot.ca.gov/asx/d3-sanjuan-i5.asx,"38.627801,-121.518445",600,440
8,I-5 at P St,http://video.dot.ca.gov/asx/d3-pst-i5.asx,"38.576755,-121.507844",600,440
9,I-5 at Pocket,http://video.dot.ca.gov/asx/d3-pocket-i5.asx,"38.481275,-121.510763",600,440
10,I-5 at Richards,http://video.dot.ca.gov/asx/d3-richards-i5.asx,"38.596883,-121.504068",600,440
11,I-5 at Seamas,http://video.dot.ca.gov/asx/d3-seamas-i5.asx,"38.525674,-121.521234",600,440
12,I-5 at Sutterville,http://video.dot.ca.gov/asx/d3-sutterville-i5.asx,"38.540646,-121.510934",600,440
13,I-5 at Vallejo Way,http://video.dot.ca.gov/asx/d3-vallejo-i5.asx,"38.558518,-121.51357",600,440

14,US-50 at 39th,http://video.dot.ca.gov/asx/d3-39th-50.asx,"38.560448,-121.458234",600,440
15,US-50 at 51st,http://video.dot.ca.gov/asx/d3-51st-50.asx,"38.556690,-121.444716",600,440
16,US-50 at 65th,http://video.dot.ca.gov/asx/d3-65th-50.asx,"38.550447,-121.427936",600,440
17,US-50 at Bradshaw,http://video.dot.ca.gov/asx/50-bradshaw.asx,"38.565884,-121.336784",600,440
18,US-50 at Harbor,http://video.dot.ca.gov/asx/50-harbor.asx,"38.575011,-121.548871",600,440
19,US-50 at Hazel,http://video.dot.ca.gov/asx/d3-hazel-50.asx,"38.630818,-121.217136",600,440
20,US-50 at Jefferson,http://video.dot.ca.gov/asx/d3-jefferson-50.asx,"38.577225,-121.525354",600,440
21,US-50 at Mather,http://video.dot.ca.gov/asx/d3-mather-50.asx,"38.578366,-121.308117",600,440
22,US-50 at Mayhew,http://video.dot.ca.gov/asx/d3-mayhew-50.asx,"38.561925,-121.349401",600,440
23,US-50 at Sunrise,http://video.dot.ca.gov/asx/d3-sunrise-50.asx,"38.608956,-121.271038",600,440
24,US-50 at Zinfandel,http://video.dot.ca.gov/asx/d3-zinfandel-50.asx,"38.590912,-121.287603",600,440

25,I-80 at Antelope,http://video.dot.ca.gov/asx/d3-antelope-80.asx,"38.707348,-121.309662",600,440
26,I-80 at Chiles,http://video.dot.ca.gov/asx/d3-chiles-80.asx,"38.551924,-121.511406",600,440
27,I-80 at Darling,http://video.dot.ca.gov/asx/d3-darling-80.asx,"38.551924,-121.511406",600,440
28,I-80 at Douglas,http://video.dot.ca.gov/asx/d3-douglas-80.asx,"38.743975,-121.270952",600,440
29,I-80 at Foothill,http://video.dot.ca.gov/asx/d3-foothill-80.asx,"38.675392,-121.344594",600,440
30,I-80 at Northgate,http://video.dot.ca.gov/asx/d3-northgate-80.asx,"38.640607,-121.477718",600,440
31,I-80 at Norwood,http://video.dot.ca.gov/asx/d3-norwood-80.asx,"38.641377,-121.456947",600,440
32,I-80 at the Split,http://video.dot.ca.gov/asx/d3-split-80.asx,"38.645031,-121.378326",600,440
33,I-80 at Truxel,http://video.dot.ca.gov/asx/d3-truxel-80.asx,"38.633634,-121.500720",600,440
34,I-80 at West Capital,http://video.dot.ca.gov/asx/d3-west-capitol-80.asx,"38.574205,-121.577711",600,440

35,US-99 at Mack Rd,http://video.dot.ca.gov/asx/d3-mack-99.asx,"38.474019,-121.422958",600,440

36,SR-51 at E Street,http://video.dot.ca.gov/asx/d3-est-51.asx,"38.578802,-121.464972",600,440

37,Madison and Auburn,http://madison-auburn.saccounty.net,"38.660950,-121.346769",320,240
38,Sunrise and Gold Country,http://sunrise-goldcountry.saccounty.net,"38.627980,-121.265929",320,240
39,Sunrise and Madison,http://sunrise-madisoneast.saccounty.net,"38.663840,-121.271999",320,240
40,Sunrise and Zinfandel,http://sunrise-zinfandel.saccounty.net,"38.615520,-121.269169",320,240
41,Watt and Auburn,http://watt-auburn.saccounty.net,"38.637150,-121.382939",320,240
42,Watt and Fair Oaks,http://watt-fairoaks.saccounty.net,"38.574060,-121.383029",320,240
